area_name,median_rent,median_home_value,median_income,zip,is_texas_zip,rent_affordability_score,home_affordability_score,income_score,starter_score
ZCTA5 79097,866,144600,88182,79097,TRUE,8.140253321,9.362862623,3.11786296,7.000319003
ZCTA5 79371,691,101600,64917,79371,TRUE,8.680877356,9.620594582,2.128406109,6.997051149
ZCTA5 76525,753,169800,80208,76525,TRUE,8.489341983,9.211819708,2.778729974,6.992901698
ZCTA5 76265,644,216500,76036,76265,TRUE,8.826073525,8.931910813,2.601295459,6.990391292
ZCTA5 79312,779,49100,64722,79312,TRUE,8.409020698,9.935267322,2.120112789,6.980222313
ZCTA5 76950,772,157000,78844,76950,TRUE,8.43064566,9.288539918,2.720719265,6.975036019
ZCTA5 79379,770,80800,67813,79379,TRUE,8.43682422,9.745264924,2.251572541,6.973780928
ZCTA5 76491,842,103100,77917,76491,TRUE,8.214396046,9.611603932,2.681294098,6.973627827
ZCTA5 78118,666,103700,60711,78118,TRUE,8.758109361,9.608007672,1.94952558,6.97050372
ZCTA5 79250,645,78600,54917,79250,TRUE,8.822984245,9.758451211,1.703107656,6.967661358
ZCTA5 75556,1014,103600,93750,75556,TRUE,7.683039852,9.608607049,3.354669139,6.962198797
ZCTA5 78830,631,66700,51354,78830,TRUE,8.866234167,9.829777032,1.551573817,6.960898922
ZCTA5 76360,815,69400,69143,76360,TRUE,8.297806611,9.813593862,2.308137235,6.955641974
ZCTA5 79739,648,258000,79352,79739,TRUE,8.813716404,8.683169504,2.742324426,6.953134741
ZCTA5 76055,745,197300,80025,76055,TRUE,8.514056225,9.046991129,2.770947012,6.951003932
ZCTA5 76656,750,128200,70703,76656,TRUE,8.498609824,9.461160393,2.374483794,6.950137186
ZCTA5 79372,675,96700,58906,79372,TRUE,8.730305839,9.649964037,1.872759209,6.948939309
ZCTA5 79241,721,85700,61803,79241,TRUE,8.58819895,9.715895469,1.995968171,6.948838672
ZCTA5 76374,488,121000,43939,76374,TRUE,9.308001236,9.504315512,1.236215014,6.945359652
ZCTA5 76365,787,162300,78484,76365,TRUE,8.384306457,9.256772956,2.70540852,6.942377026
ZCTA5 75563,580,121900,52565,75563,TRUE,9.023787458,9.498921122,1.60307746,6.940114558
ZCTA5 79255,685,66700,54375,79255,TRUE,8.699413037,9.829777032,1.68005648,6.932715268
ZCTA5 76430,726,202400,77102,76430,TRUE,8.572752549,9.01642292,2.646632274,6.928017578
ZCTA5 76464,818,48500,64038,76464,TRUE,8.28853877,9.938863582,2.091022375,6.924381295
ZCTA5 79257,543,91300,43362,79257,TRUE,9.138090825,9.682330376,1.211675293,6.923438031
ZCTA5 76665,646,160700,62857,76665,TRUE,8.819894964,9.266362982,2.040794628,6.920105269
ZCTA5 77442,619,237100,70859,77442,TRUE,8.90330553,8.808439223,2.38111845,6.918189514
ZCTA5 75936,721,168900,70938,75936,TRUE,8.58819895,9.217214097,2.384478308,6.915787301
ZCTA5 78357,739,137500,68000,78357,TRUE,8.532591906,9.405418365,2.259525622,6.912519959
ZCTA5 75571,606,146900,56151,75571,TRUE,8.943466172,9.34907696,1.755589485,6.908786402
ZCTA5 76454,492,84800,36354,76454,TRUE,9.295644115,9.721289859,0.913626137,6.908732445
ZCTA5 76626,1000,205600,102500,76626,TRUE,7.726289774,8.997242867,3.726805286,6.907730356
ZCTA5 79261,565,129200,49450,79261,TRUE,9.07012666,9.455166627,1.470596991,6.90577975
